index_latest,countryiso3code,growth_year_latest,growth_latest,index_prev,growth_year_prev,growth_prev,growth_momentum,growth_score
408,PHL,2024,5.69201612823412,409.0,2023.0,5.51894967862863,0.1730664496054901,78.89795918367346
340,MDV,2024,5.13396223082093,341.0,2023.0,4.72639195043021,0.4075702803907202,78.16326530612244
110,ATG,2024,4.32752145036402,111.0,2023.0,2.42736300110336,1.90015844926066,78.0408163265306
260,GIN,2024,5.6685239347435,261.0,2023.0,5.54172668627702,0.1267972484664801,77.95918367346938
154,BRN,2024,4.20037273472056,155.0,2023.0,1.12764419161606,3.0727285431044997,77.14285714285714
342,MLI,2024,5.00454593743036,343.0,2023.0,4.71716103989503,0.2873848975353299,76.0
122,AZE,2024,4.07140210544654,123.0,2023.0,1.35447731755447,2.7169247878920704,75.51020408163265
516,VUT,2024,3.96725830607052,517.0,2023.0,-0.964792281661744,4.932050587732264,74.9795918367347
262,GNB,2024,4.81348595188295,263.0,2023.0,4.46369936133392,0.34978659054903005,74.3265306122449
42,IDA,2024,4.21671151635795,43.0,2023.0,3.00077652876011,1.2159349875978402,74.0408163265306
359,MCO,2023,5.04338259195359,,,,,72.93877551020407
308,XKX,2024,4.41273828755084,309.0,2023.0,4.06762701436438,0.3451112731864603,71.91836734693878
322,LBR,2024,4.79291482156812,323.0,2023.0,4.68375688761311,0.10915793395500994,71.42857142857142
278,IDN,2024,5.03034469419038,279.0,2023.0,5.04902331835997,-0.018678624169590208,71.3061224489796
192,CIV,2024,5.95000000002031,193.0,2023.0,6.45045796902575,-0.5004579690054403,71.3061224489796
462,LCA,2024,3.89175024218898,463.0,2023.0,2.20988276526516,1.68186747692382,70.57142857142857
344,MLT,2024,5.96928196125685,345.0,2023.0,6.79631311118804,-0.82703114993119,70.40816326530611
143,BTN,2023,4.88259396253632,,,,,70.3673469387755
314,LAO,2024,4.25825724651581,315.0,2023.0,3.74568140158232,0.5125758449334898,70.24489795918366
2,AFW,2024,4.17610288931516,3.0,2023.0,3.35798699488655,0.8181158944286104,70.20408163265306
44,LTE,2024,4.45301510129421,45.0,2023.0,4.35348918461054,0.09952591668367017,70.04081632653062
420,RUS,2024,4.34437475491529,421.0,2023.0,4.08252481259281,0.2618499423224794,70.0408163265306
186,COD,2024,6.67593028986779,187.0,2023.0,8.60908972348436,-1.9331594336165692,69.14285714285714
332,MAC,2024,8.80815968461638,333.0,2023.0,75.0618571360857,-66.25369745146932,69.14285714285714
38,IDB,2024,3.8708201655074,39.0,2023.0,2.73696664680223,1.1338535187051701,68.28571428571428
206,DJI,2024,5.95382998854848,207.0,2023.0,7.37207148701995,-1.4182414984714695,67.79591836734694
84,SAS,2024,6.2248422535276,85.0,2023.0,8.50511785369001,-2.28027560016241,67.59183673469387
86,TSA,2024,6.2248422535276,87.0,2023.0,8.50511785369001,-2.28027560016241,67.59183673469387
276,IND,2024,6.48422363033757,277.0,2023.0,9.19075493028345,-2.7065312999458806,67.3469387755102
16,TEA,2024,4.96260711576491,17.0,2023.0,5.25471763539007,-0.2921105196251599,67.18367346938776
171,CYM,2023,4.35967595700366,,,,,66.93877551020408
14,EAP,2024,4.96259956224176,15.0,2023.0,5.25477821929519,-0.29217865705343016,66.77551020408163
180,CHN,2024,4.9773565917572,181.0,2023.0,5.41484330099675,-0.4374867092395496,66.24489795918366
374,NPL,2024,3.66537430744968,375.0,2023.0,1.98254843628392,1.6828258711657598,66.12244897959184
486,TGO,2024,5.30000531416641,487.0,2023.0,6.40792215636242,-1.1079168421960102,66.08163265306122
402,PNG,2024,4.09502900203009,403.0,2023.0,3.81088622906051,0.28414277296958,65.87755102040816
52,LDC,2024,3.86385485651356,53.0,2023.0,3.05222026754709,0.81163458896647,65.67346938775509
204,DNK,2024,3.67619734971929,205.0,2023.0,2.49518434516773,1.18101300455156,65.38775510204081
114,ARM,2024,5.90000000046228,115.0,2023.0,8.29999999959539,-2.399999999133109,65.14285714285714
298,KAZ,2024,4.80000000000022,299.0,2023.0,5.09999999999999,-0.2999999999997698,64.97959183673468
